Level,Find,Part Number,Rev,Description,Qty,UOM,Type,Ref Des,Eff From,Eff To
4,80,      EC-51686,01,Inductor 4u7,3,EA,Item,R333-R335,2023-12-08,
4,90,      3392-471,C,Grommet 8mm,1,,Vendor,,2025-08-18,2026-08-18
4,100,      EC-51695,C,Diode Schottky 40V,3,EA,Make,C336-C338,2024-11-16,
4,110,      3393-472,01,Braided Sleeve 10mm,2.754,M,item,,2025-12-15,
3,60,    SA-1258,A,Manifold,1,Each,Ph,,2026-05-24,
4,10,      0453-119,A,Hex Bolt M6x20 A4,3,ea,Item,,2024-07-27,2025-07-27
4,20,      3396-406,-,Thread Locker Medium,0,ML,Item,,,
4,30,      3401-866,C,Cable Tie 100mm,1,EA,Item,,2025-08-21,
4,40,      3407-040,02,Extrusion 20x20 Slot,0.668,MM,Standard,,,
4,50,      SA-1260,C,Backplane,1,EA,Item,,08/05/2026,
5,10,        3408-548,01,Heat Shrink 6mm,2,ea,item,,06/27/2023,
5,20,        3412-016,,Nut M6 Nyloc,4,EA,Standard,,,
5,30,        3419-694,01,Gasket PTFE 40mm,1,PC,ITEM,,2024-10-02,
5,40,        EC-51702,01,Voltage Regulator 3V3,2,PC,Buy,R339-R340,2026-10-10,
5,50,        3421-275,A,Cable 4-Core Screened,3.577,L,Item,,,
5,60,        EC-51711,01,Resistor 10k 0603,1,Ea,Buy,R341,2024-08-25,
4,60,      EC-51713,C,Diode Schottky 40V,1,PCS,Buy,R342,2026-09-17,
4,70,      EC-51721,,Voltage Regulator 3V3,2,Each,Pegged supply,"R343,R344",2025-05-13,
3,70,    SA-1261,01,Cable Harness,1,EA,Item,,2023-01-18,2024-01-18
4,10,      SA-1262,B,Bracket Set,1,ea,Item,,12/03/2023,
5,10,        3428-577,01,Cap Screw M4x12,4,EA,Subcontract,,2025-01-12,
5,20,        0453-204,B,Washer M6 Plain A4,3,EA,Item,,12/25/2026,
5,30,        3430-473,A,Wire 0.75mm2 Black,1.613,M,Subcontract,,,
5,40,        3432-520,01,Cable Tie 100mm,1,,Buy,,2026-01-01,
5,50,        3439-631,,Wire 0.75mm2 Red,1.518,M,Pegged supply,,2025-09-17,2026-09-17
5,60,        EC-51730,A,Inductor 4u7,1,PC,Make,D345,2026-04-10,
5,70,        0461-018,A,Nut M6 Nyloc A4,6,,Standard,,06/13/2023,
4,20,      3442-617,,Wire 0.75mm2 Red,"2,135",KG,Item,,2024-07-07,
4,30,      3444-253,-,Silicone Grease,AR,ML,vendor,,2023-01-24,
4,40,      3447-837,,Tube PTFE 4x6mm,0.942,L,Purchased,,2025-09-19,
4,50,      SA-1263,,Seal Kit,1,ea,phantom,,2023-04-01,
5,10,        3451-233,-,Solder Paste SAC305,0,,Item,,2025-10-06,
5,20,        3452-631,,Label Serial 30x15,4,EA,,,,
5,30,        0453-204,B,Washer M6 Plain A4,1,EA,item,,2026-03-22,
5,40,        3457-354,A,Ribbon Cable 20W,1,PC,Pegged supply,,,
5,50,        3464-696,B,Washer M6 Plain,1,PC,Make,,,
5,60,        EC-51733,01,MOSFET N-Ch 30V,4,EA,Purchased,"U346,U347,U348,U349",2026-06-14,
4,60,      3468-622,C,Bushing Bronze 10mm,4,EA,Item,,2025-05-08,
4,70,      3471-007,,Terminal Block 4W,4,PC,Item,,2024-06-21,2025-06-21
4,80,      0712-330,,O-Ring 24mm Viton,24,EA,ITEM,,,
4,90,      0461-018,,Nut M6 Nyloc A4,1,PC,Subcontract,,,
4,100,      EC-51742,2,Resistor 10k 0603,1,EA,Subcontract,C350,08/18/2025,08/18/2026
4,110,      3477-300,A,Hex Bolt M6x20,1,ea,Subcontract,,2024-02-21,2025-02-21
3,80,    EC-51743,B,Capacitor 100nF 50V,2,Each,Item,"U351,U352",05/16/2023,
3,90,    EC-51752,A,Inductor 4u7,1,EA,ITEM,C353,,
3,100,    3481-106,B,Bushing Bronze 10mm,2,PCS,Subcontract,,10/16/2023,10/16/2024
2,,  0461-018,,Nut M6 Nyloc A4,1,EA,Subcontract,,2026-02-10,2027-02-10
2,70,  SA-1266,02,Seal Kit,1,pcs,Phantom,,,
3,10,    3486-821,-,Thread Locker Medium,0,G,Vendor,,08/01/2025,
3,20,    3489-268,C,Sheet Aluminium 1.5mm,2.675,M,,,2025-05-21,
3,30,    SA-1270,2,Rotor Assembly,1,PCS,phantom,,2024-01-05,
4,10,      3495-479,A,Braided Sleeve 10mm,2.61,M,Item,,2026-08-08,
4,20,      3496-528,-,Thread Locker Medium,0,EA,vendor,,01/01/2024,
4,30,      SA-1274,B,Manifold,1,EA,Standard,,2023-03-25,
5,10,        3502-508,C,Standoff M3x10,1,EA,Pegged,,09/10/2026,
5,20,        EC-51759,,Inductor 4u7,3,ea,item,C354-C356,2025-04-16,
5,30,        3507-064,A,Bushing Bronze 10mm,3,,Item,,2025-06-21,
4,40,      EC-51767,B,Diode Schottky 40V,2,EA,,R357-R358,2024-04-20,2025-04-20
4,50,      SA-1275,B,Frame Weldment,1,ea,item,,2023-09-19,
5,10,        3513-168,A,O-Ring 24mm Viton,1,EA,Standard,,2026-03-20,
5,20,        3520-811,,Heat Shrink 6mm,4,Each,Subcontract,,2024-06-11,2025-06-11
5,30,        3521-378,C,Wire 0.75mm2 Black,3.898,M,Item,,2026-08-10,
5,40,        3526-288,-,Epoxy Adhesive 2-Part,0,,item,,2023-08-18,
5,50,        3531-828,01,Cable Tie 100mm,6,EA,Subcontract,,10/07/2023,10/07/2024
4,60,      EC-51769,-,Diode Schottky 40V,3,pcs,Item,R359-R361,2023-10-19,
3,40,    EC-51773,A,Diode Schottky 40V,2,PCS,Buy,C362-C363,,
3,50,    EC-51775,02,Resistor 10k 0603,1,pcs,Vendor,R364,2025-07-28,
3,60,    0453-119,B,Hex Bolt M6x20 A4,1,EA,Purchased,,2023-01-19,
3,70,    0461-018,A,Nut M6 Nyloc A4,1,PC,Item,,2026-10-27,2027-10-27
3,80,    0461-018,A,Nut M6 Nyloc A4,3,PCS,Buy,,2026-11-17,
3,90,    3532-576,1,Connector Housing 6P,6,EA,Vendor,,2026-11-06,
2,80,  SA-1276,B,Drive Unit,1,EA,PHANTOM,,,
3,10,    3539-426,,Thread Locker Medium,0,G,Purchased,,,
3,20,    3546-311,A,Solder Paste SAC305,0,G,Item,,,
3,30,    SA-1278,1,Rotor Assembly,1,EA,Item,,2026-04-15,
4,10,      SA-1282,01,Impeller Assembly,1,Each,Phantom,,2023-05-17,
5,10,        EC-51783,D,Crystal 16MHz,4,EA,item,"C365, C366, C367, C368",,
5,20,        3547-829,2,Sealant Silicone Clear,1.491,ML,Make,,2023-04-05,
5,30,        EC-51785,B,Voltage Regulator 3V3,4,Ea,item,"C369,C370,C371,C372",2024-01-08,
4,20,      EC-51792,A,Crystal 16MHz,1,,ITEM,R373,2026-05-08,2027-05-08
4,30,      0453-119,-,Hex Bolt M6x20 A4,6,EA,,,2023-06-07,
4,40,      0461-018,A,Nut M6 Nyloc A4,2,EA,Item,,2026-10-22,
4,50,      EC-51797,B,Resistor 10k 0603,4,EA,Vendor,L374-L377,2023-05-23,
4,60,      0712-330,A,O-Ring 24mm Viton,6,EA,Buy,,2025-11-24,
4,70,      SA-1284,B,Valve Block,1,PC,Item,,2024-04-11,
5,10,        3553-944,C,Nut M6 Nyloc,4,,Pegged,,2026-03-03,
5,20,        EC-51805,01,Crystal 16MHz,1,Ea,Pegged supply,R378,2026-10-10,2027-10-10
5,30,        EC-51808,,LED Green 0603,4,EA,Pegged,D379-D382,08/09/2026,
5,40,        3554-269,C,Bushing Bronze 10mm,4,ea,Pegged supply,,,
4,80,      3561-345,A,Washer M6 Plain,3,Ea,Buy,,02/15/2025,
4,90,      3564-111,C,Braided Sleeve 10mm,2.33,M,Pegged supply,,2025-03-13,
4,100,      EC-51817,B,Diode Schottky 40V,2,EA,Item,U383-U384,2023-07-03,
3,40,    SA-1287,D,Coupling Set,1,PCS,phantom,,2026-06-16,
4,10,      0712-330,,O-Ring 24mm Viton,8,,item,,2026-05-10,
4,20,      EC-51819,01,MOSFET N-Ch 30V,2,ea,vendor,R385-R386,2023-06-07,
4,30,      SA-1290,C,Sensor Stack,1,EA,Item,,10/06/2025,
5,10,        3568-750,,Tube PTFE 4x6mm,3.559,G,Vendor,,2024-01-26,
5,20,        3575-311,A,Strip Copper 3mm,2.252,M,,,2024-01-18,
5,30,        3580-937,1,Standoff M3x10,1,EA,Item,,2025-09-12,
5,40,        3581-689,01,Tube PTFE 4x6mm,3.987,M,Buy,,01/10/2026,
5,50,        0453-204,,Washer M6 Plain A4,1,PC,Item,,2023-06-05,
4,40,      EC-51821,01,Inductor 4u7,1,EA,Buy,C387,,
4,50,      3586-211,-,Solder Paste SAC305,0.02,ML,,,2023-07-02,
4,60,      3588-908,1,Connector Housing 6P,4,ea,Buy,,2025-06-16,
4,70,      3593-974,02,Connector Housing 6P,1,EA,Item,,2024-05-22,
4,80,      EC-51825,B,Capacitor 100nF 50V,1,EA,Vendor,C388,2023-01-23,
3,50,    3595-827,C,Strip Copper 3mm,3.44,KG,Item,,2025-06-22,
3,60,    0461-018,,Nut M6 Nyloc A4,1,PC,Item,,,
3,70,    3596-054,B,Sealant Silicone Clear,2.827,M,Item,,02/23/2023,
3,80,    SA-1292,B,Gearbox,1,EA,Item,,2023-04-12,
4,10,      3600-496,A,Cable 4-Core Screened,0.41,SQM,Item,,,
4,20,      EC-51833,B,Capacitor 100nF 50V,2,ea,Buy,"D389,D390",2026-08-24,2027-08-24
4,30,      3606-999,A,Terminal Block 4W,1,,Pegged,,08/24/2024,08/24/2025
4,40,      SA-1295,01,Control Board,1,EA,phantom,,11/07/2024,
5,10,        EC-51836,1,Capacitor 100nF 50V,6,EA,Purchased,"L391, L392, L393, L394, L395, L396",2026-06-25,2027-06-25
5,20,        EC-51842,C,Crystal 16MHz,2,PC,Pegged supply,"D397,D398",2025-11-03,
5,30,        0461-018,B,Nut M6 Nyloc A4,1,PCS,Item,,12/11/2023,
5,40,        3612-315,A,Solder Paste SAC305,AR,ML,Subcontract,,2026-08-25,
5,50,        EC-51845,D,Capacitor 100nF 50V,3,,vendor,"R399,R400,R401",2026-07-18,
5,60,        3619-981,-,Conformal Coating,0,G,Item,,07/07/2024,
4,50,      3622-806,D,Sealant Silicone Clear,1.458,ML,,,2023-04-21,
4,60,      EC-51851,C,Resistor 10k 0603,6,EA,,"C402, C403, C404, C405, C406, C407",2025-03-03,2026-03-03
4,70,      0453-204,A,Washer M6 Plain A4,4,PC,Buy,,,
4,80,      EC-51854,02,Voltage Regulator 3V3,1,EA,,C408,2023-01-22,2024-01-22
4,90,      0453-119,-,Hex Bolt M6x20 A4,3,ea,Item,,,
4,100,      0453-119,-,Hex Bolt M6x20 A4,8,Ea,Standard,,2024-01-05,
3,90,    0453-204,A,Washer M6 Plain A4,3,EA,Purchased,,2023-08-05,
3,100,    3627-253,A,Terminal Block 4W,3,EA,Item,,04/18/2024,
3,110,    3628-499,1,Tube PTFE 4x6mm,2.961,L,Standard,,2026-09-24,
3,120,    SA-1299,D,Drive Unit,4,Each,item,,2024-05-28,
4,10,      3632-762,-,Thread Locker Medium,AR,G,item,,05/05/2023,
4,20,      3634-434,C,Label Serial 30x15,4,PCS,Vendor,,09/01/2024,
4,30,      3640-349,,Silicone Grease,0,,Pegged supply,,2024-09-08,
4,40,      EC-51863,D,Capacitor 100nF 50V,2,ea,Standard,"R409, R410",,
4,50,      EC-51866,01,MOSFET N-Ch 30V,6,PCS,Subcontract,U411-U416,2024-02-02,
4,60,      EC-51872,2,Capacitor 100nF 50V,1,pcs,Item,R417,11/03/2023,
4,70,      3642-247,C,Dowel Pin 5x16,1,EA,Buy,,2024-02-22,
2,90,  0453-119,A,Hex Bolt M6x20 A4,8,EA,Vendor,,,
2,100,  SA-1300,A,Bracket Set,1,ea,Item,,2026-02-03,2027-02-03
3,10,    3644-487,B,Retaining Ring 20mm,1,PC,Vendor,,2023-05-04,
3,20,    EC-51875,,MOSFET N-Ch 30V,1,PC,Subcontract,C418,2025-11-25,
3,30,    EC-51878,-,LED Green 0603,1,,Pegged,C419,2026-09-13,
3,40,    SA-1302,01,Sensor Stack,1,EA,Item,,2024-09-20,
4,10,      3651-239,1,Hex Bolt M6x20,,EA,Item,,,
4,20,      3654-810,A,Solder Paste SAC305,0,G,ITEM,,,
4,30,      SA-1303,02,Power Supply,1,EA,Phantom,,12/13/2023,
5,10,        0461-018,,Nut M6 Nyloc A4,2,EA,Item,,,
5,20,        EC-51887,1,LED Green 0603,6,EA,Item,"R420,R421,R422,R423,R424,R425",2026-09-08,
5,30,        EC-51896,D,MOSFET N-Ch 30V,1,PCS,Subcontract,C426,03/12/2023,
4,40,      3660-028,A,Wire 0.75mm2 Red,"2,15",G,Standard,,2026-05-20,
4,50,      SA-1304,01,Display Module,2,EA,Item,,2024-12-16,
5,10,        EC-51901,B,Inductor 4u7,1,EA,Item,R427,2023-02-13,
5,20,        3665-618,-,Epoxy Adhesive 2-Part,0.02,G,Vendor,,2026-12-05,
5,30,        EC-51907,01,Voltage Regulator 3V3,3,PCS,Buy,R428-R430,11/04/2024,
4,60,      0461-018,,Nut M6 Nyloc A4,1,EA,Standard,,11/05/2025,11/05/2026
3,50,    0461-018,B,Nut M6 Nyloc A4,2,PCS,Item,,2025-05-28,
3,60,    3669-345,,Tube PTFE 4x6mm,0.078,L,,,,
3,70,    3671-264,,Bushing Bronze 10mm,4,Each,Item,,2023-06-17,
3,80,    SA-1306,B,Manifold,1,PC,Item,,2024-08-08,
4,10,      3674-043,-,Thread Locker Medium,0,G,Pegged supply,,2024-02-21,
4,20,      0453-204,,Washer M6 Plain A4,2,PCS,Pegged supply,,,
4,30,      3681-562,A,Strip Copper 3mm,2.807,G,Item,,12/25/2024,
4,40,      3686-599,A,Grommet 8mm,24,EA,Buy,,09/27/2026,
4,50,      SA-1308,D,Seal Kit,2,EA,Phantom,,2023-05-19,
5,10,        EC-51911,D,LED Green 0603,2,EA,Item,"D431,D432",2025-12-26,2026-12-26
5,20,        3693-336,,Gasket PTFE 40mm,24,EA,Item,,2025-02-17,2026-02-17
5,30,        3700-669,A,O-Ring 24mm Viton,1,EA,Purchased,,2023-09-11,
2,110,  3702-276,A,Wire 0.75mm2 Black,2.419,M,Item,,2023-09-19,2024-09-19
2,120,  EC-51917,A,Crystal 16MHz,3,PC,Item,"R433, R434, R435",,
2,130,  0461-018,,Nut M6 Nyloc A4,4,EA,item,,2023-12-02,2024-12-02
2,140,  0461-018,B,Nut M6 Nyloc A4,1,EA,Item,,2025-10-15,
2,150,  EC-51922,A,LED Green 0603,6,PC,Item,D436-D441,2025-01-01,
