Harbour Lane Logistics
Outbound shipments
Exported 2026-06-30

Tracking No,Ship Date,Destination Port,Carrier,Weight (kg),Pallet Count,Declared Value,Customs Ref
HL-001911,2026-06-04,Rotterdam,UPS,25.43,9,46698.1,CR-01911
HL-001912,2026-04-11,Felixstowe,DHL,376.18,17,9985.28,CR-01912
HL-001913,2026-06-08,Gdansk,FedEx,222.75,17,780.97,CR-01913
HL-001914,2026-05-20,Rotterdam,DHL,3.46,25,26889.18,CR-01914
HL-001915,2026-02-28,Algeciras,UPS,322.41,9,20897.01,CR-01915
HL-001916,2026-03-13,Gdansk,DHL,304.97,12,15433.62,
HL-001917,2026-01-04,Gdansk,FedEx,76.63,21,47121,CR-01917
HL-001918,2026-02-27,Rotterdam,DHL,55.28,26,23534.38,CR-01918
HL-001919,2026-02-14,Felixstowe,FedEx,59.38,24,42536.48,CR-01919
HL-001920,2026-05-12,Gdansk,UPS,118.99,18,45406.51,CR-01920
HL-001921,2026-01-10,Felixstowe,Maersk,361.56,25,25356.15,CR-01921
HL-001922,2026-01-29,Felixstowe,DHL,316.56,13,28069.26,CR-01922
HL-001923,2026-01-28,Gdansk,DHL,71.43,5,30866.46,CR-01923
HL-001924,2026-03-08,Rotterdam,DHL,189.77,11,4235.53,CR-01924
HL-001925,2026-06-20,Felixstowe,DHL,101.8,4,40454.64,CR-01925
HL-001926,2026-03-01,Gdansk,DHL,377.62,22,20746.22,CR-01926
HL-001927,2026-02-10,Rotterdam,UPS,144.4,3,1940.69,CR-01927
HL-001928,2026-06-07,Felixstowe,UPS,340.83,10,41692.82,CR-01928
HL-001929,2026-05-21,Algeciras,FedEx,99.12,14,19318.35,CR-01929
HL-001930,2026-06-21,Algeciras,Maersk,328.5,13,20629.3,CR-01930
HL-001931,2026-06-17,Gdansk,DHL,219.07,17,25250.33,
HL-001932,2026-06-27,Piraeus,FedEx,37.23,9,23057.06,CR-01932
HL-001933,2026-05-11,Algeciras,FedEx,239.88,13,18446.62,CR-01933
HL-001934,2026-06-11,Felixstowe,FedEx,256.29,16,28246.64,CR-01934
HL-001935,2026-04-23,Felixstowe,Maersk,298.16,20,6586.23,CR-01935
HL-001936,2026-04-15,Gdansk,FedEx,194.43,3,22813.35,CR-01936
HL-001937,2026-04-01,Rotterdam,UPS,249.17,7,36113.03,CR-01937
HL-001938,2026-04-17,Gdansk,DHL,159.06,18,42535.52,CR-01938
HL-001939,2026-03-06,Algeciras,FedEx,344.8,1,2964.72,CR-01939
HL-001940,2026-04-25,Felixstowe,FedEx,7.59,22,13067.46,CR-01940
HL-001941,2026-03-22,Felixstowe,DHL,330.8,15,1633.8,CR-01941
HL-001942,2026-06-30,Algeciras,FedEx,231.3,14,10512.04,CR-01942
HL-001943,2026-03-30,Rotterdam,FedEx,210.35,9,39313.84,CR-01943
HL-001944,2026-06-22,Piraeus,FedEx,204.42,10,39865.67,CR-01944
HL-001945,2026-04-26,Rotterdam,DHL,367.3,23,18197.13,CR-01945
HL-001946,2026-06-03,Rotterdam,FedEx,149.88,18,5476.09,CR-01946
HL-001947,2026-02-06,Algeciras,UPS,31.58,6,13262.81,
HL-001948,2026-06-26,Rotterdam,DHL,297.57,9,23355.61,CR-01948
HL-001949,2026-06-20,Rotterdam,UPS,284.58,10,25848.78,CR-01949
HL-001950,2026-06-03,Rotterdam,DHL,237.51,1,10903.74,CR-01950
HL-001951,2026-06-06,Algeciras,Maersk,254.02,19,22021.07,CR-01951
HL-001952,2026-03-06,Rotterdam,Maersk,84.66,23,44897.28,CR-01952
HL-001953,2026-06-13,Felixstowe,DHL,194.29,9,36903.35,
HL-001954,2026-05-25,Gdansk,FedEx,60.29,1,15398.23,CR-01954
HL-001955,2026-05-19,Felixstowe,FedEx,261.93,19,22844.71,CR-01955
HL-001956,2026-04-05,Algeciras,UPS,67.08,15,19760.97,CR-01956
HL-001957,2026-05-29,Rotterdam,DHL,82.34,22,31903.91,CR-01957
HL-001958,2026-03-14,Felixstowe,DHL,8.1,16,18371.35,CR-01958
HL-001959,2026-03-27,Algeciras,FedEx,102.21,18,8348.86,CR-01959
HL-001960,2026-05-17,Gdansk,DHL,318.79,2,11868.31,CR-01960
HL-001961,2026-06-09,Algeciras,Maersk,223.67,9,31027.07,CR-01961
HL-001962,2026-05-27,Felixstowe,Maersk,76.52,19,44618.36,CR-01962
HL-001963,2026-03-05,Rotterdam,UPS,172.98,18,37835.57,CR-01963
HL-001964,2026-01-22,Piraeus,DHL,121.37,15,15047.02,CR-01964
HL-001965,2026-01-25,Rotterdam,UPS,139.97,2,21380.52,CR-01965
HL-001966,2026-05-17,Rotterdam,DHL,159.82,8,27249.25,
HL-001967,2026-03-20,Rotterdam,Maersk,331.59,13,16080.73,CR-01967
HL-001968,2026-05-13,Rotterdam,UPS,249.29,11,25946.29,CR-01968
HL-001969,2026-05-11,Rotterdam,DHL,242.05,22,29486.05,CR-01969
HL-001970,2026-01-30,Felixstowe,DHL,301.35,8,9973.03,CR-01970
HL-001971,2026-02-03,Gdansk,UPS,161.14,16,45614.81,CR-01971
HL-001972,2026-01-09,Rotterdam,UPS,297.2,15,6773.51,
HL-001973,2026-05-13,Rotterdam,FedEx,361.28,3,14735.97,
HL-001974,2026-03-07,Algeciras,Maersk,338.01,18,18262.49,CR-01974
HL-001975,2026-01-14,Piraeus,UPS,72.81,19,13201.13,CR-01975
HL-001976,2026-01-26,Gdansk,DHL,332.98,15,30697.07,CR-01976
HL-001977,2026-03-26,Gdansk,DHL,239.9,25,4993.66,CR-01977
HL-001978,2026-02-22,Gdansk,DHL,119.15,23,44437.58,CR-01978
HL-001979,2026-02-05,Piraeus,Maersk,95.08,24,43058.06,CR-01979
HL-001980,2026-04-20,Rotterdam,UPS,363.72,17,7273.32,CR-01980
HL-001981,2026-05-01,Felixstowe,DHL,45.28,10,42740.39,CR-01981
HL-001982,2026-05-18,Felixstowe,UPS,30.28,17,36835.48,CR-01982
HL-001983,2026-05-10,Algeciras,Maersk,120.02,12,2437.15,CR-01983
HL-001984,2026-06-27,Rotterdam,DHL,24.97,15,19699.4,CR-01984
HL-001985,2026-05-03,Gdansk,DHL,252.52,18,27450.39,CR-01985
HL-001986,2026-05-16,Felixstowe,FedEx,99.8,24,19648.54,CR-01986
HL-001987,2026-03-20,Rotterdam,DHL,204.77,14,17293.8,CR-01987
HL-001988,2026-01-20,Rotterdam,UPS,183.83,22,39510.74,CR-01988
HL-001989,2026-06-22,Algeciras,DHL,156.57,15,17657.41,CR-01989
HL-001990,2026-06-20,Felixstowe,DHL,55.03,19,18427.06,CR-01990
HL-001991,2026-01-21,Gdansk,DHL,114.28,11,20790.7,CR-01991
HL-001992,2026-05-27,Rotterdam,DHL,131.41,7,6218.28,CR-01992
HL-001993,2026-06-30,Rotterdam,FedEx,342.35,21,23177.76,CR-01993
HL-001994,2026-05-21,Piraeus,FedEx,98.02,2,15908.29,CR-01994
HL-001995,2026-05-12,Rotterdam,FedEx,249.76,6,46553.94,CR-01995
HL-001996,2026-05-17,Felixstowe,UPS,149.95,19,25837.24,CR-01996
HL-001997,2026-02-20,Felixstowe,UPS,62.73,4,38079.68,CR-01997
HL-001998,2026-03-26,Felixstowe,Maersk,94.17,17,3586.57,CR-01998
HL-001999,2026-01-15,Felixstowe,FedEx,246.54,7,27264.9,CR-01999
HL-002000,2026-05-11,Felixstowe,DHL,100.34,2,15934.14,CR-02000
HL-002001,2026-03-18,Felixstowe,FedEx,249.72,25,3307.23,CR-02001
HL-002002,2026-03-20,Rotterdam,UPS,358.35,17,34680.91,CR-02002
HL-002003,2026-03-03,Felixstowe,UPS,126.08,8,33122.66,CR-02003
HL-002004,2026-06-23,Piraeus,Maersk,151.51,13,35282.52,CR-02004
HL-002005,2026-03-14,Gdansk,UPS,167.52,8,9209,CR-02005
HL-002006,2026-02-27,Felixstowe,FedEx,20.85,4,1985.18,CR-02006
HL-002007,2026-06-09,Felixstowe,UPS,251.71,18,20661.09,CR-02007
HL-002008,2026-03-01,Algeciras,DHL,32.88,12,36747.22,CR-02008
HL-002009,2026-02-22,Rotterdam,DHL,61.45,8,441.04,CR-02009
HL-002010,2026-05-24,Felixstowe,UPS,246.88,3,25677.71,
HL-002011,2026-04-20,Rotterdam,DHL,321.36,25,40642.7,CR-02011
HL-002012,2026-05-15,Felixstowe,UPS,369.7,2,353.86,CR-02012
HL-002013,2026-02-28,Algeciras,FedEx,198.55,7,4278.54,CR-02013
HL-002014,2026-05-25,Algeciras,UPS,25.32,18,6333.57,CR-02014
HL-002015,2026-05-16,Rotterdam,Maersk,96.71,12,32595.53,CR-02015
HL-002016,2026-03-21,Felixstowe,Maersk,376.09,12,22355.64,CR-02016
HL-002017,2026-04-26,Piraeus,DHL,141.55,12,22037.13,CR-02017
HL-002018,2026-05-07,Algeciras,FedEx,75.63,11,6796.25,CR-02018
HL-002019,2026-04-30,Rotterdam,UPS,5.22,21,12077.78,CR-02019
HL-002020,2026-04-05,Rotterdam,FedEx,322.75,15,15428.43,CR-02020
HL-002021,2026-04-07,Gdansk,UPS,250.03,12,24828.73,CR-02021
HL-002022,2026-04-25,Gdansk,DHL,296.26,2,23384.53,CR-02022
HL-002023,2026-02-03,Piraeus,DHL,18.14,13,36125.47,CR-02023
HL-002024,2026-04-21,Rotterdam,Maersk,149.4,15,10439.89,CR-02024
HL-002025,2026-03-19,Rotterdam,DHL,18.62,20,37088.74,CR-02025
HL-002026,2026-06-17,Rotterdam,UPS,236.08,23,6648.62,CR-02026
HL-002027,2026-05-25,Algeciras,UPS,344.63,25,29859.87,CR-02027
HL-002028,2026-01-10,Felixstowe,UPS,99.6,24,22053.03,CR-02028
HL-002029,2026-03-12,Gdansk,DHL,337.96,8,46026.47,CR-02029
HL-002030,2026-02-25,Felixstowe,DHL,229.6,3,42918.17,CR-02030
HL-002031,2026-03-02,Felixstowe,UPS,171.58,13,21276.08,CR-02031
HL-002032,2026-06-11,Algeciras,DHL,103.27,2,30193.26,CR-02032
HL-002033,2026-02-02,Felixstowe,DHL,261.51,13,41505.16,
HL-002034,2026-03-12,Gdansk,UPS,224.39,20,3443.06,CR-02034
HL-002035,2026-01-06,Felixstowe,DHL,206.95,6,18015.43,CR-02035
HL-002036,2026-02-24,Felixstowe,DHL,226.71,16,34604.03,CR-02036
HL-002037,2026-06-24,Piraeus,Maersk,263.5,16,39626.51,CR-02037
HL-002038,2026-05-09,Rotterdam,UPS,253.01,13,47130.66,CR-02038
HL-002039,2026-05-06,Felixstowe,Maersk,132.73,17,35876.06,CR-02039
HL-002040,2026-06-20,Felixstowe,UPS,253.5,9,38197.64,CR-02040
HL-002041,2026-06-30,Felixstowe,Maersk,302.71,10,28214.63,CR-02041
HL-002042,2026-04-12,Felixstowe,UPS,331.71,17,47742.67,CR-02042
HL-002043,2026-05-03,Rotterdam,UPS,292.36,5,10787.73,
HL-002044,2026-05-03,Rotterdam,Maersk,11.11,14,9403.67,CR-02044
HL-002045,2026-05-22,Gdansk,DHL,33.7,12,18915.68,CR-02045
HL-002046,2026-06-30,Rotterdam,DHL,350.26,13,37295.04,CR-02046
HL-002047,2026-02-01,Rotterdam,UPS,123.83,8,10076.92,CR-02047
HL-002048,2026-02-02,Felixstowe,UPS,154.66,19,45644.66,CR-02048
HL-002049,2026-04-11,Felixstowe,DHL,272.46,23,5126.75,CR-02049
HL-002050,2026-05-13,Rotterdam,Maersk,153.77,1,1207.9,CR-02050
HL-002051,2026-04-20,Felixstowe,UPS,354.49,14,32642.97,CR-02051
HL-002052,2026-06-17,Algeciras,FedEx,293.83,16,30137.01,CR-02052
HL-002053,2026-05-15,Felixstowe,UPS,268.98,22,28947.57,CR-02053
HL-002054,2026-04-04,Felixstowe,Maersk,1.53,11,20244.02,CR-02054
HL-002055,2026-06-27,Felixstowe,Maersk,291.01,8,45033.43,CR-02055
HL-002056,2026-03-24,Felixstowe,DHL,249.56,3,4429.71,CR-02056
HL-002057,2026-04-13,Algeciras,UPS,297.06,11,47214.88,
HL-002058,2026-02-18,Rotterdam,DHL,238.82,17,11057.18,CR-02058
HL-002059,2026-04-19,Felixstowe,DHL,81.06,10,41866.38,CR-02059
HL-002060,2026-01-05,Rotterdam,FedEx,61.46,21,19173.3,CR-02060
HL-002061,2026-06-09,Felixstowe,DHL,150.55,6,8704.33,CR-02061
HL-002062,2026-02-17,Rotterdam,UPS,262.53,3,22540.31,CR-02062
HL-002063,2026-03-17,Rotterdam,Maersk,31.35,5,33005.95,CR-02063
HL-002064,2026-03-31,Felixstowe,FedEx,336.65,15,15515.06,CR-02064
HL-002065,2026-01-12,Rotterdam,DHL,33.38,21,42713.14,CR-02065
HL-002066,2026-02-27,Rotterdam,FedEx,298.3,12,28977.89,CR-02066
HL-002067,2026-01-04,Algeciras,Maersk,330.82,25,38124.15,CR-02067
HL-002068,2026-01-20,Algeciras,FedEx,144.09,15,37127.44,CR-02068
HL-002069,2026-02-27,Rotterdam,FedEx,295.97,19,6502.2,CR-02069
HL-002070,2026-01-19,Rotterdam,UPS,127.86,15,36737.88,CR-02070
HL-002071,2026-04-03,Felixstowe,DHL,58.38,2,38425.42,CR-02071
HL-002072,2026-04-23,Rotterdam,DHL,43.2,10,7483.44,CR-02072
HL-002073,2026-03-19,Rotterdam,DHL,158.25,7,34777.36,CR-02073
HL-002074,2026-06-25,Felixstowe,FedEx,279.56,17,17887.36,CR-02074
HL-002075,2026-05-22,Felixstowe,DHL,197.1,12,32774.88,CR-02075
HL-002076,2026-01-26,Rotterdam,DHL,55.3,24,17261,CR-02076
HL-002077,2026-05-19,Rotterdam,UPS,306.99,1,47731.29,CR-02077
HL-002078,2026-03-01,Piraeus,DHL,235.11,17,30169,CR-02078
HL-002079,2026-04-22,Piraeus,DHL,173.78,9,26293.9,CR-02079
HL-002080,2026-02-15,Felixstowe,DHL,234.45,4,16860.95,CR-02080
HL-002081,2026-03-29,Rotterdam,UPS,164.62,10,45330.25,CR-02081
HL-002082,2026-03-30,Rotterdam,DHL,221.25,12,42129.4,CR-02082
HL-002083,2026-02-26,Piraeus,FedEx,282.93,3,23800.94,CR-02083
HL-002084,2026-01-29,Gdansk,Maersk,11.51,22,6941.05,CR-02084
HL-002085,2026-05-02,Rotterdam,UPS,169.71,16,38575.62,CR-02085
HL-002086,2026-03-19,Algeciras,DHL,128.03,16,11279.15,CR-02086
HL-002087,2026-05-07,Piraeus,UPS,275.98,11,6005.85,CR-02087
HL-002088,2026-06-21,Rotterdam,FedEx,256.16,4,20186.92,CR-02088
HL-002089,2026-01-05,Rotterdam,UPS,235.92,21,32949.87,CR-02089
HL-002090,2026-05-03,Rotterdam,UPS,295.75,11,42951.2,CR-02090
HL-002091,2026-03-30,Rotterdam,DHL,56.71,24,39374.51,CR-02091
HL-002092,2026-05-14,Rotterdam,Maersk,134.7,14,39545,CR-02092
HL-002093,2026-04-29,Rotterdam,FedEx,255.37,6,33225.09,CR-02093
HL-002094,2026-06-01,Felixstowe,FedEx,305.34,1,41032.17,CR-02094
HL-002095,2026-04-16,Felixstowe,UPS,58.42,25,25112.37,CR-02095
HL-002096,2026-01-22,Rotterdam,DHL,3.81,6,9298.67,CR-02096
HL-002097,2026-01-12,Felixstowe,FedEx,230.39,9,47570.79,CR-02097
HL-002098,2026-01-09,Felixstowe,Maersk,120.74,1,37778.99,CR-02098
HL-002099,2026-02-14,Gdansk,FedEx,67.39,10,21159.82,CR-02099
HL-002100,2026-05-24,Rotterdam,UPS,346.21,20,27548.96,CR-02100
HL-002101,2026-04-11,Rotterdam,UPS,248.52,12,26586.29,CR-02101
HL-002102,2026-03-24,Felixstowe,DHL,74.71,15,8885.1,CR-02102
HL-002103,2026-01-10,Felixstowe,UPS,34.32,11,31073.21,CR-02103
HL-002104,2026-04-11,Rotterdam,UPS,264.51,18,40808.9,CR-02104
HL-002105,2026-03-16,Felixstowe,DHL,146.37,22,30752.94,CR-02105
HL-002106,2026-02-22,Gdansk,UPS,110.97,12,15093.19,CR-02106
HL-002107,2026-04-19,Rotterdam,FedEx,267.45,8,16367.96,CR-02107
HL-002108,2026-03-18,Rotterdam,DHL,137.46,8,4655.07,CR-02108
HL-002109,2026-05-14,Algeciras,UPS,207.78,12,22014.14,CR-02109
HL-002110,2026-04-05,Felixstowe,DHL,145.59,11,6263.41,CR-02110
HL-002111,2026-05-28,Gdansk,DHL,262.84,9,10252.35,CR-02111
HL-002112,2026-06-07,Felixstowe,UPS,203.48,7,42367.47,CR-02112
HL-002113,2026-01-05,Rotterdam,UPS,76.74,15,26143.56,CR-02113
HL-002114,2026-02-05,Algeciras,DHL,349.44,4,2558.47,CR-02114
HL-002115,2026-05-01,Felixstowe,UPS,376.25,22,4940.02,CR-02115
HL-002116,2026-03-28,Rotterdam,DHL,179.43,11,27594.25,CR-02116
HL-002117,2026-02-13,Felixstowe,DHL,103.97,9,29995.2,CR-02117
HL-002118,2026-05-16,Rotterdam,FedEx,360.24,11,37202.34,CR-02118
HL-002119,2026-06-27,Gdansk,FedEx,116.2,4,20248.58,CR-02119
HL-002120,2026-01-10,Gdansk,DHL,73.64,3,30010.21,CR-02120
HL-002121,2026-02-08,Gdansk,DHL,230.59,6,24645.17,CR-02121
HL-002122,2026-01-12,Rotterdam,UPS,173.42,16,11655.56,CR-02122
HL-002123,2026-03-29,Rotterdam,Maersk,274.15,11,29893.65,CR-02123
HL-002124,2026-06-08,Felixstowe,Maersk,73.74,20,6724.77,CR-02124
HL-002125,2026-01-11,Rotterdam,DHL,294.73,22,43465.55,CR-02125
HL-002126,2026-01-31,Felixstowe,UPS,305.29,8,9400.23,CR-02126
HL-002127,2026-06-21,Felixstowe,DHL,65.78,8,7954.07,CR-02127
HL-002128,2026-03-27,Piraeus,Maersk,103.68,13,30375.86,CR-02128
HL-002129,2026-06-26,Felixstowe,DHL,327.47,20,39250.32,CR-02129
HL-002130,2026-01-02,Rotterdam,DHL,335.73,6,33313.89,CR-02130
HL-002131,2026-05-02,Felixstowe,UPS,294.15,3,14758.02,CR-02131
HL-002132,2026-04-08,Rotterdam,DHL,202.61,13,24445.58,CR-02132
HL-002133,2026-04-06,Felixstowe,UPS,256.05,21,6627.21,CR-02133
HL-002134,2026-01-13,Felixstowe,DHL,99.93,22,23949.85,CR-02134
HL-002135,2026-03-04,Algeciras,FedEx,127.31,6,30589,CR-02135
HL-002136,2026-05-18,Piraeus,Maersk,211.81,13,35768.52,
HL-002137,2026-02-10,Rotterdam,DHL,155.3,13,584.29,CR-02137
HL-002138,2026-04-10,Rotterdam,FedEx,148.99,10,38890.84,CR-02138
HL-002139,2026-05-15,Gdansk,FedEx,362.39,25,41110.4,CR-02139
HL-002140,2026-05-27,Rotterdam,DHL,170.33,11,31267.48,CR-02140
HL-002141,2026-02-06,Rotterdam,FedEx,131.89,25,1448.34,CR-02141
HL-002142,2026-03-23,Felixstowe,UPS,13.86,18,42434.55,CR-02142
HL-002143,2026-04-15,Rotterdam,UPS,346.45,6,46790.26,
HL-002144,2026-05-20,Piraeus,UPS,263.01,10,27096.16,CR-02144
HL-002145,2026-05-22,Rotterdam,DHL,0.51,25,43215.73,CR-02145
HL-002146,2026-01-21,Piraeus,Maersk,224.56,4,20819.63,CR-02146
HL-002147,2026-02-06,Rotterdam,FedEx,214.26,11,16926.02,CR-02147
HL-002148,2026-03-07,Gdansk,FedEx,6.02,10,25644.07,CR-02148
HL-002149,2026-05-04,Rotterdam,FedEx,375.73,22,13176.51,CR-02149
HL-002150,2026-06-03,Rotterdam,DHL,6.35,4,35351.96,
HL-002151,2026-06-26,Rotterdam,DHL,94.57,9,14001.04,CR-02151
HL-002152,2026-03-16,Algeciras,FedEx,320.73,7,25086.26,CR-02152
HL-002153,2026-03-20,Felixstowe,Maersk,300.34,9,16675.25,CR-02153
HL-002154,2026-06-29,Felixstowe,FedEx,99.85,5,22026.11,CR-02154
HL-002155,2026-04-15,Rotterdam,Maersk,330,19,17520.04,
HL-002156,2026-04-01,Rotterdam,FedEx,98.68,21,21932.84,CR-02156
HL-002157,2026-03-16,Rotterdam,UPS,138.47,2,25863.35,CR-02157
HL-002158,2026-06-04,Felixstowe,DHL,34.6,16,5755.14,CR-02158
HL-002159,2026-01-14,Piraeus,UPS,23.16,16,33969.33,CR-02159
HL-002160,2026-02-16,Felixstowe,DHL,95.91,8,43283.26,CR-02160
HL-002161,2026-01-13,Rotterdam,FedEx,195.07,26,5066.32,CR-02161
HL-002162,2026-05-31,Rotterdam,Maersk,155.59,22,7058.11,CR-02162
HL-002163,2026-03-11,Algeciras,UPS,195.95,3,34682.17,CR-02163
HL-002164,2026-05-02,Piraeus,DHL,61.72,5,6502.16,CR-02164
HL-002165,2026-02-01,Piraeus,FedEx,75.18,11,20146.93,CR-02165
HL-002166,2026-03-04,Gdansk,Maersk,13.61,22,18107.26,CR-02166
HL-002167,2026-03-05,Gdansk,UPS,143.72,12,22166.16,CR-02167
HL-002168,2026-01-22,Rotterdam,UPS,254.63,12,45486.02,CR-02168
HL-002169,2026-01-31,Rotterdam,Maersk,333.17,14,21925.42,CR-02169
HL-002170,2026-05-22,Rotterdam,DHL,364.83,8,46236.85,CR-02170
HL-002171,2026-01-30,Gdansk,UPS,188.42,20,8618.06,CR-02171
HL-002172,2026-01-03,Algeciras,FedEx,136.18,17,11790.72,CR-02172
HL-002173,2026-06-21,Rotterdam,UPS,162.16,24,23868.04,CR-02173
HL-002174,2026-06-02,Rotterdam,UPS,179.79,9,6748.19,CR-02174
HL-002175,2026-03-07,Rotterdam,DHL,323.47,10,28986.08,CR-02175
HL-002176,2026-03-21,Felixstowe,Maersk,66.19,23,28743.15,CR-02176
HL-002177,2026-06-23,Rotterdam,DHL,327.81,8,9654.27,CR-02177
HL-002178,2026-01-31,Algeciras,DHL,317.43,14,23020.83,CR-02178
HL-002179,2026-01-01,Felixstowe,DHL,286.13,14,31692.61,CR-02179
HL-002180,2026-03-06,Algeciras,DHL,77.2,15,22727.24,CR-02180
HL-002181,2026-04-06,Gdansk,DHL,18.96,26,46152.52,CR-02181
HL-002182,2026-03-26,Gdansk,UPS,97.41,8,12011.32,CR-02182
HL-002183,2026-03-23,Rotterdam,FedEx,1.02,18,27293.43,
HL-002184,2026-05-04,Gdansk,DHL,333.22,9,32037.51,CR-02184
HL-002185,2026-01-31,Felixstowe,Maersk,304.93,23,8263.33,
HL-002186,2026-03-14,Rotterdam,FedEx,42.43,5,37717.05,CR-02186
HL-002187,2026-05-28,Gdansk,DHL,274.5,16,19578.24,CR-02187
HL-002188,2026-01-03,Rotterdam,UPS,182.95,5,20182.76,CR-02188
HL-002189,2026-03-13,Gdansk,DHL,376.05,14,1145.39,CR-02189
HL-002190,2026-06-11,Rotterdam,UPS,104.04,22,44020.42,CR-02190
HL-002191,2026-02-15,Felixstowe,FedEx,239.52,12,16057.32,CR-02191
HL-002192,2026-04-15,Rotterdam,UPS,57.47,10,29393.38,CR-02192
HL-002193,2026-03-26,Rotterdam,DHL,80.34,4,45118.6,CR-02193
HL-002194,2026-03-14,Rotterdam,UPS,150.5,13,18459.04,CR-02194
HL-002195,2026-04-18,Gdansk,DHL,258.93,7,25789.43,
HL-002196,2026-03-03,Felixstowe,UPS,225.92,19,34989.42,
HL-002197,2026-04-16,Gdansk,DHL,257.44,2,5050.1,CR-02197
HL-002198,2026-03-25,Rotterdam,DHL,333.38,21,24279.2,CR-02198
HL-002199,2026-04-28,Gdansk,FedEx,92.34,8,3497.74,CR-02199
HL-002200,2026-01-30,Felixstowe,DHL,338.75,25,5700.61,CR-02200
HL-002201,2026-05-09,Rotterdam,UPS,61.22,11,30352.12,CR-02201
HL-002202,2026-06-26,Gdansk,FedEx,248.87,17,39150.33,CR-02202
HL-002203,2026-06-27,Algeciras,DHL,122.33,19,26811.16,CR-02203
HL-002204,2026-02-18,Felixstowe,UPS,125.25,18,32195.04,CR-02204
HL-002205,2026-01-23,Gdansk,UPS,7.47,7,26372.85,CR-02205
HL-002206,2026-06-27,Rotterdam,DHL,228.99,8,17115.35,CR-02206
HL-002207,2026-02-21,Rotterdam,UPS,357.86,21,22578.92,CR-02207
HL-002208,2026-04-05,Rotterdam,UPS,16.06,13,41491.81,CR-02208
HL-002209,2026-06-06,Rotterdam,FedEx,221.59,19,26771.41,CR-02209
HL-002210,2026-06-29,Gdansk,DHL,8.69,14,3245.17,CR-02210
HL-002211,2026-03-08,Felixstowe,DHL,236.06,21,10083.68,CR-02211
HL-002212,2026-02-23,Rotterdam,DHL,40.85,22,11867.88,CR-02212
HL-002213,2026-05-13,Gdansk,DHL,208.09,6,31323,CR-02213
HL-002214,2026-03-08,Rotterdam,FedEx,136.15,23,20576.89,
HL-002215,2026-02-24,Gdansk,DHL,83.11,24,29695.5,
HL-002216,2026-05-08,Rotterdam,DHL,380,8,41685.14,CR-02216
HL-002217,2026-04-08,Felixstowe,DHL,375.7,21,36055.94,CR-02217
HL-002218,2026-06-07,Rotterdam,UPS,292.27,19,37400.87,CR-02218
HL-002219,2026-02-10,Rotterdam,DHL,132.3,17,28551.37,CR-02219
HL-002220,2026-02-10,Algeciras,DHL,116,20,12716.57,CR-02220
HL-002221,2026-01-03,Felixstowe,Maersk,333.45,21,5052.27,CR-02221
HL-002222,2026-06-06,Felixstowe,UPS,11.6,10,1891.54,CR-02222
HL-002223,2026-05-18,Gdansk,DHL,86.35,6,43592.78,CR-02223
HL-002224,2026-06-20,Algeciras,DHL,240.7,22,7789.55,CR-02224
HL-002225,2026-05-09,Rotterdam,DHL,371.52,16,15768.06,CR-02225
HL-002226,2026-02-17,Rotterdam,DHL,159.47,15,15453.21,CR-02226
HL-002227,2026-03-04,Felixstowe,DHL,340.84,8,14743.29,CR-02227
HL-002228,2026-05-12,Rotterdam,UPS,216.4,15,46168.33,CR-02228
HL-002229,2026-04-07,Felixstowe,UPS,25.22,13,42966.31,CR-02229
HL-002230,2026-05-13,Rotterdam,Maersk,205.23,21,5996.78,CR-02230
HL-002231,2026-04-16,Algeciras,DHL,359.15,10,30363.04,CR-02231
HL-002232,2026-04-21,Rotterdam,FedEx,248.9,11,28621.97,CR-02232
HL-002233,2026-02-10,Gdansk,FedEx,18.83,26,13401.86,CR-02233
HL-002234,2026-06-05,Rotterdam,DHL,44.47,9,45051.96,CR-02234
HL-002235,2026-02-14,Rotterdam,DHL,320.4,16,14048.49,CR-02235
HL-002236,2026-05-27,Rotterdam,FedEx,258.48,12,33164.27,CR-02236
HL-002237,2026-06-14,Piraeus,DHL,97.18,5,30912.24,CR-02237
HL-002238,2026-05-16,Rotterdam,FedEx,113.01,1,8496.1,
HL-002239,2026-01-16,Felixstowe,DHL,337.47,18,20848.37,CR-02239
HL-002240,2026-02-26,Felixstowe,Maersk,239.46,6,11127.15,CR-02240
HL-002241,2026-01-07,Felixstowe,Maersk,129.17,8,31152.54,CR-02241
HL-002242,2026-03-31,Rotterdam,DHL,264.88,24,5014.97,CR-02242
HL-002243,2026-05-03,Rotterdam,UPS,159.05,5,2582.01,CR-02243
HL-002244,2026-01-27,Rotterdam,UPS,377.6,17,260.48,CR-02244
HL-002245,2026-05-05,Felixstowe,DHL,107.25,20,1251.23,CR-02245
HL-002246,2026-02-09,Rotterdam,FedEx,98.03,18,19364.13,
HL-002247,2026-05-09,Felixstowe,DHL,337.3,4,27122.31,CR-02247
HL-002248,2026-04-16,Gdansk,DHL,63.4,18,31238.13,CR-02248
HL-002249,2026-06-06,Rotterdam,DHL,55.41,15,30151.29,CR-02249
HL-002250,2026-02-03,Felixstowe,Maersk,85.91,10,18802.7,CR-02250
HL-002251,2026-01-24,Algeciras,DHL,197.11,17,22195.77,CR-02251
HL-002252,2026-05-07,Piraeus,DHL,84.42,8,30995.27,CR-02252
