Supplier Number,Company Name,Display Name,SIM Status,Organization Type,Federal Tax ID,DUNS,Country of Operation,Preferred Currency,Payment Term,Invoice Matching Level,Minority Indicator,Minority Type,Primary Contact Email,Pay Group,Risk Tier,Insurance Expiry,Plants Served
V-101654,Castleford Bearings Ltd,Castleford Bearings,active,Sole Proprietor,48-7982440,309695764,US,USD,Due on receipt,2-way,yes,VOSB,castleford.bearings@castlefordbea.com,MX-AP,2,03/03/2026,PLT-06;PLT-08
V-101655,Wolverton Electrical GmbH,Wolverton Electrical,active,Sole Proprietor,66-0858167,,DE,USD,Net 60,2-way,TRUE,HUBZone,wolverton.electrical@wolvertonele.com,EU-AP,Medium,2028-05-09,"PLT-09, PLT-06, PLT-12"
V-101656,Netherfield Tooling Inc.,Netherfield Tooling,inactive,S-Corp,366067581,865491945,DE,GBP,Net 45,2-way,Y,SDVOSB,netherfield.tooling.netherfieldtoo.com,,1,09/01/2028,PLT-06;PLT-01;PLT-09
V-101657,Culverton Valves GmbH,,On Hold,LLC,768605132,778032333,Mexico,EUR,Net 30,2 way,FALSE,,,US-AP,Low,,"PLT-08, PLT-11"
V-101658,Thirlmere Extrusions S.A. de C.V.,,Inactive,Corporation,21-1721372,78-589-5785,CA,,Net 30,3-way-direct,False,,thirlmere.extrusions@thirlmereext.com,US-AP,2,2026-12-25,PLT-02
V-101659,Quarrington Valves Corp,,,LLC,89-8076975,120835983,Canada,GBP,NET30,3-way-direct,no,,quarrington.valves@quarringtonval.com,UK-AP,Tier 1,11/19/2028,PLT-03
V-101660,Thirlmere Forgings Corp,Thirlmere Forgings,active,Partnership,05-3915399,222708435,,GBP,Net 90,2-way,FALSE,,thirlmere.forgings@thirlmerefor.com,EU-AP,3,2027-02-03,PLT-04;PLT-09;PLT-10;PLT-11
V-101661,Quarrington Valves Co,,Active,S-Corp,226869331,891216881,United States,Euro,Immediate,3-way,Y,HUBZone,ap@quarringtonval.com; quarrington.valves@quarringtonval.com,UK-AP,High,2026-10-15,PLT-12
V-101662,Quarrington Machining Co,,active,LLC,,865542500,USA,,NET30,None,No,,quarrington.machining@quarringtonmac.com,,2,2027-10-16,
V-101663,Ballantyne Fabrication LLC,,A,LLC,005815244,,US,USD,Net 45,3-way,true,DBE,ballantyne.fabrication@ballantynefab.com,MX-AP,2,,"PLT-03, PLT-07, PLT-11"
V-101664,Oakhurst Fasteners Inc,Oakhurst Fasteners,active,Sole Proprietor,188352910,784387904,,USD,Due on receipt,2-way,No,,oakhurst.fasteners@oakhurstfas.com,CA-AP,1,2028-04-11,PLT-01
V-101665,Pemberton Forgings LLC,,active,Partnership,31-2578278,59089088,DE,USD,,3-way,F,,pemberton.forgings@pembertonfor.com,CA-AP,Low,2028-06-09,"PLT-03, PLT-02, PLT-11"
V-101666,Elmswell Bearings Ltd,Elmswell Bearings,A,,700391585,598941627,Canada,EUR,Net 45,3 Way Match,,,ap@elmswellbea.com; elmswell.bearings@elmswellbea.com,CA-AP,,2027-04-05,PLT-04;PLT-06
V-101667,Marchmont Foundry Ltd.,,Inactive,Corporation,985078880,916516763,CA,usd,Net 30,3-way,N,,marchmont.foundry@marchmontfou.com,US-AP,3,2028-03-09,PLT-05;PLT-10
V-101668,Ashworth Tooling S.A. de C.V.,Ashworth Tooling,inactive,Corporation,55-9205177,801211445,US,USD,Net 30,3-way,No,,ashworth.tooling@ashworthtoo.com,US-AP,1,02/18/2026,
V-101669,Castleford Bearings GmbH,,active,Sole Proprietor,34-6646889,437769264,US,EUR,N30,2-way,FALSE,,castleford.bearings@castlefordbea.com,,Low,2028-08-11,PLT-12
V-101670,Saltburn Gasket Corp,,draft,Corporation,,126857701,Germany,USD,Net 30,none,,,saltburn.gasket@saltburngas.com,,Tier 2,,PLT-05;PLT-11;PLT-03
V-101671,Oakhurst Extrusions Ltd,Oakhurst Extrusions,active,Corporation,80-3918638,,USA,EUR,,2-way,No,,,US-AP,Tier 2,08/23/2027,
V-101672,Ashworth Lubricants GmbH,,Pending,Limited Liability Company,34-8737323,288530526,GB,EUR,Net 30,3-way-direct,FALSE,,ashworth.lubricants@ashworthlub.com,EU-AP,3,2028-11-17,PLT-07;PLT-04;PLT-03
V-101673,Ballantyne Fasteners Inc.,Ballantyne Fasteners,inactive,LLC,57-4895248,123548730,US,USD,Net 15,Two-way,No,,ballantyne.fasteners@ballantynefas.com,EU-AP,1,06/19/2028,PLT-08;PLT-11
V-101674,Oakhurst Springs Inc.,Oakhurst Springs,active,Corporation,074155272,,United States,USD,Due on receipt,2 way,True,VOSB,oakhurst.springs@oakhurstspr.com,US-AP,2,2027-12-18,"PLT-02, PLT-12, PLT-06"
V-101675,Kettleby Plating LLC,,,,239160131,968774807,United Kingdom,USD,Net 30,None,FALSE,,kettleby.plating@kettlebypla.com,CA-AP,,2028-10-18,"PLT-07, PLT-12, PLT-06"
V-101676,Brackenridge Foundry S.A. de C.V.,Brackenridge Foundry,draft,Corporation,547036664,122623739,US,USD,Net 45,3 way,,WBE,brackenridge.foundry@brackenridgefou.com,EU-AP,2,2028-01-03,PLT-07;PLT-10;PLT-08
V-101677,Castleford Seals S.A. de C.V.,,Active,Corporation,258882042,820221368,US,USD,Net 45,none,N,,castleford.seals.castlefordsea.com,MX-AP,Tier 3,2026-10-01,PLT-10;PLT-01;PLT-03;PLT-12
V-101678,Culverton Packaging Co,Culverton Packaging,active,Corporation,539969527,814913971,CA,EUR,NET30,3-way,yes,DBE,culverton.packaging@culvertonpac.com,UK-AP,,2028-10-23,PLT-08;PLT-06
V-101679,Grimsby Seals PLC,Grimsby Seals,active,S-Corp,86-4948428,00441035,Mexico,USD,Net 30,3 way,No,,grimsby.seals@grimsbysea.com,,2,2027-07-23,PLT-03;PLT-08
V-101680,Marchmont Bearings GmbH,Marchmont Bearings,Pending,LLC,,,US,USD,Net 60,3 way,N,,marchmont.bearings@marchmontbea.com,US-AP,Medium,11/26/2027,PLT-06;PLT-12
V-101681,Thirlmere Logistics Ltd,Thirlmere Logistics,active,Sole Proprietor,97-3682786,259084263,US,USD,N30,2-way,F,,thirlmere.logistics@thirlmerelog.com,US-AP,2,2027-06-17,PLT-03
V-101682,Wolverton Pneumatics Ltd,Wolverton Pneumatics,A,,333771025,,United States,CAD,Net 90,2 way,true,MBE,,UK-AP,Tier 3,2026-05-03,PLT-06
V-101683,Draycott Electrical Ltd,,active,Partnership,69-1588231,10626678,United States,EUR,Net 90,3-way-direct,false,,draycott.electrical@draycottele.com,US-AP,2,11/27/2028,PLT-10
V-101684,Castleford Electrical Co,Castleford Electrical,Inactive,,803598114,514889371,USA,USD,Net 15,3-way,no,,castleford.electrical@castlefordele.com,,1,,PLT-12;PLT-07
V-101685,Draycott Electrical Co,Draycott Electrical,active,Corporation,464165600,955862765,US,USD,Net 15,none,F,,draycott.electrical@draycottele.com,CA-AP,3,2027-03-16,"PLT-03, PLT-11, PLT-02, PLT-07"
V-101686,Rushcliffe Pneumatics S.A. de C.V.,Rushcliffe Pneumatics,active,Limited Liability Company,27-9691968,30731040,Deutschland,GBP,,3 way,false,,rushcliffe.pneumatics@rushcliffepne.com,MX-AP,2,2026-12-25,PLT-12 / PLT-08 / PLT-06
V-101687,Culverton Forgings PLC,,active,Non-Profit,901682168,,US,USD,Net 30,3 Way Match,false,,culverton.forgings@culvertonfor.com,US-AP,2,2028-05-11,PLT-12;PLT-06;PLT-10
V-101688,Saltburn Foundry Inc,Saltburn Foundry,draft,LLC,25-0299512,388029473,Mexico,CAD,Net 30,none,0,,,EU-AP,,2026-06-05,PLT-06;PLT-12
V-101689,Denholm Plating Co,,I,LLC,15-7591567,005237486,,EUR,NET30,Two-way,no,,denholm.plating@denholmpla.com,,,09/19/2026,PLT-08;PLT-04;PLT-10;PLT-01
V-101690,Quarrington Pneumatics S.A. de C.V.,Quarrington Pneumatics,Active,Sole Proprietor,91-3075735,29-968-7034,US,USD,NET30,3-way,False,,quarrington.pneumatics@quarringtonpne.com,CA-AP,Medium,2028-04-05,"PLT-10, PLT-03"
V-101691,Lansdowne Gasket S.A. de C.V.,Lansdowne Gasket,Active,LLC,22-6919539,619586227,Mexico,CAD,Net 30,2-way,false,,lansdowne.gasket@lansdownegas.com,,Low,09/08/2028,PLT-04
V-101692,Elmswell Logistics LLC,Elmswell Logistics,active,LLC,634804956,32-100-9891,USA,USD,NET30,2-way,F,,elmswell.logistics@elmswelllog.com,EU-AP,Tier 1,2028-03-23,PLT-12 / PLT-05
V-101693,Ashworth Hydraulics Inc.,,A,Partnership,14-0482132,314826374,United Kingdom,USD,Net 45,Three way direct,N,,,EU-AP,3,,PLT-02
V-101694,Jarrow Seals Co,Jarrow Seals,Active,Corporation,53-0623264,31661499,,GBP,Net 60,3 Way Match,N,,jarrow.seals@jarrowsea.com,EU-AP,1,2028-09-07,PLT-02;PLT-10;PLT-11;PLT-05
V-101695,Jarrow Packaging S.A. de C.V.,Jarrow Packaging,active,LLC,09-3782660,961235100,,USD,NET30,3 Way Match,N,,jarrow.packaging@jarrowpac.com,US-AP,Tier 3,,PLT-05 / PLT-03
V-101696,Eastgate Hydraulics Ltd,Eastgate Hydraulics,A,Corporation,51-8796336,,Canada,MXN,Net 15,2-way,0,,eastgate.hydraulics@eastgatehyd.com,US-AP,Tier 3,,PLT-09;PLT-08
V-101697,Brackenridge Calibration S.A. de C.V.,Brackenridge Calibration,Active,Limited Liability Company,39-7513675,,US,USD,Net 45,3 way,No,,brackenridge.calibration@brackenridgecal.com,CA-AP,2,2028-07-23,
V-101698,Jarrow Seals GmbH,Jarrow Seals,active,Corporation,22-2908290,941424553,US,Euro,Net 45,3-way,,,jarrow.seals@jarrowsea.com,US-AP,3,2027-10-20,"PLT-05, PLT-12, PLT-08"
V-101699,Oakhurst Machining GmbH,Oakhurst Machining,active,Corporation,383721097,213152491,US,USD,Net 90,3-way-direct,0,,oakhurst.machining@oakhurstmac.com,CA-AP,Tier 3,,"PLT-10, PLT-01, PLT-08"
V-101700,Lansdowne Coatings PLC,,draft,Corporation,14-5900088,984936575,US,EUR,Net 30,none,F,,lansdowne.coatings@lansdownecoa.com,US-AP,Medium,,"PLT-06, PLT-12, PLT-07, PLT-11"
V-101701,Eastgate Fasteners Ltd.,Eastgate Fasteners,Pending,LLC,52-4502542,373904473,US,Euro,Net 15,3-way,No,,eastgate.fasteners@eastgatefas.com,US-AP,3,2026-04-06,PLT-11;PLT-09
V-101702,Ingleby Seals Ltd.,,active,S-Corp,41-7147619,548612353,US,USD,Net 15,3-way,True,Minority Business Enterprise,ingleby.seals@inglebysea.com,,Medium,2026-12-16,"PLT-06, PLT-02"
V-101703,Saltburn Lubricants S.A. de C.V.,Saltburn Lubricants,draft,LLC,229461056,56630814,US,US Dollar,Net 60,,No,,saltburn.lubricants@saltburnlub.com,US-AP,2,2027-03-09,PLT-06;PLT-12;PLT-04;PLT-08
V-101704,Grimsby Castings GmbH,,active,Partnership,68-1137992,938776429,USA,USD,Net 90,None,TRUE,Minority Business Enterprise,grimsby.castings@grimsbycas.com,MX-AP,Low,2026-03-06,"PLT-11, PLT-04"
V-101705,Rushcliffe Bearings Inc,Rushcliffe Bearings,Active,Partnership,500048761,771793497,Canada,EUR,COD,3 Way Match,,,rushcliffe.bearings@rushcliffebea.com,US-AP,1,2026-07-07,PLT-07
V-101706,Netherfield Plating Corp,Netherfield Plating,active,,474438432,413712177,US,EUR,Net 60,3 way,False,,netherfield.plating@netherfieldpla.com,MX-AP,Tier 1,2028-02-02,PLT-06;PLT-01;PLT-05
V-101707,Pemberton Weldments Corp,,A,Non-Profit,79-0541942,635197396,USA,EUR,Net 30,2-way,N,,pemberton.weldments@pembertonwel.com,CA-AP,Tier 1,2027-08-05,PLT-09 / PLT-01 / PLT-07
V-101708,Draycott Seals Inc,,active,Sole Proprietor,37-7876624,678764932,Mexico,CAD,30 days,None,no,,draycott.seals@draycottsea.com,US-AP,,2027-05-27,
V-101709,Yarborough Gasket Ltd,Yarborough Gasket,active,Limited Liability Company,99-9116992,983899765,GB,,Net 90,None,YES,WBE,yarborough.gasket@yarboroughgas.com,US-AP,1,06/15/2028,PLT-04
V-101710,Ingleby Foundry PLC,Ingleby Foundry,On Hold,LLC,,656657142,MX,USD,Net 30,3-way-direct,Y,Minority Business Enterprise,ap@inglebyfou.com; ingleby.foundry@inglebyfou.com,,,2027-02-15,"PLT-04, PLT-11"
V-101711,Rushcliffe Extrusions GmbH,Rushcliffe Extrusions,active,Corporation,86-4306714,396183632,US,usd,NET30,2-way,F,,rushcliffe.extrusions@rushcliffeext.com,EU-AP,3,2026-06-01,
,Jarrow Weldments Ltd,Jarrow Weldments,active,Corporation,417792687,660189329,United States,USD,COD,3-way,No,,jarrow.weldments@jarrowwel.com,CA-AP,2,,
V-101713,Rushcliffe Calibration Inc,Rushcliffe Calibration,inactive,Sole Proprietor,61-0571903,426379870,US,EUR,N30,,N,,rushcliffe.calibration@rushcliffecal.com,US-AP,High,,PLT-09;PLT-12
V-101714,Netherfield Packaging Ltd,Netherfield Packaging,active,Corporation,,831940315,MX,,NET30,Two-way,F,,,EU-AP,Medium,,
V-101715,Elmswell Electrical Ltd.,Elmswell Electrical,Pending,,39-4925437,236529837,US,USD,Net 30,3-way,no,,elmswell.electrical@elmswellele.com,US-AP,Tier 2,2027-01-12,PLT-09
V-101716,Fairweather Weldments Ltd,Fairweather Weldments,active,LLC,35-6471904,371274969,,CAD,,3-way,false,,fairweather.weldments@fairweatherwel.com,,High,2027-03-18,PLT-04;PLT-07;PLT-05
V-101717,Quarrington Hydraulics Ltd.,Quarrington Hydraulics,Active,S-Corp,029242216,64808016,United Kingdom,USD,Net 45,2-way,false,,quarrington.hydraulics@quarringtonhyd.com,EU-AP,High,2027-04-14,PLT-01;PLT-09;PLT-03
V-101718,Lansdowne Bearings Corp,Lansdowne Bearings,active,Sole Prop,326086289,114065235,USA,usd,Net 30,2-way,no,,lansdowne.bearings@lansdownebea.com,US-AP,1,2027-01-11,
V-101719,Yarborough Bearings Co,Yarborough Bearings,Inactive,Corporation,,,DE,USD,Net 60,3 way,Y,Woman-Owned Small Business,yarborough.bearings@yarboroughbea.com,UK-AP,Tier 1,2026-12-10,PLT-03
V-101720,Thirlmere Fasteners Co,,active,Sole Proprietor,39-7403190,36182348,US,,Immediate,none,N,,ap@thirlmerefas.com; thirlmere.fasteners@thirlmerefas.com,UK-AP,,06/28/2027,PLT-12;PLT-07;PLT-11;PLT-09
V-101721,Yarborough Pneumatics Co,,Inactive,Partnership,95-0535330,512096144,USA,US Dollar,NET30,3-way,,,,US-AP,Tier 3,12/26/2028,PLT-02;PLT-09;PLT-07
V-101722,Kettleby Gasket Ltd,,,,245730657,478054910,US,GBP,Net 60,2-way,yes,VOSB,kettleby.gasket@kettlebygas.com,MX-AP,Low,10/24/2026,PLT-07;PLT-12
V-101723,Elmswell Weldments Inc,Elmswell Weldments,Active,Corporation,210163068,,US,EUR,Net 30,3 Way Match,0,,elmswell.weldments@elmswellwel.com,US-AP,Tier 2,2028-08-10,PLT-05
V-101724,Ballantyne Machining S.A. de C.V.,,active,LLC,930810169,,US,USD,Net 30,3 Way Match,no,,ballantyne.machining@ballantynemac.com,CA-AP,3,2026-05-02,PLT-11
V-101725,Farndale Plating Inc.,Farndale Plating,Draft,Non-Profit,,367169803,U.S.,USD,Immediate,3-way-direct,FALSE,,farndale.plating@farndalepla.com,,2,05/23/2026,"PLT-02, PLT-04"
V-101726,Ingleby Weldments Co,Ingleby Weldments,Active,Corporation,69-1945488,88-968-8549,USA,CAD,Net 30,,T,WBE,ingleby.weldments@inglebywel.com,US-AP,Tier 1,2026-02-05,PLT-04
V-101727,Thirlmere Springs Co,,inactive,Sole Proprietor,,215096194,United States,USD,Due on receipt,2 Way Match,0,,thirlmere.springs@thirlmerespr.com,US-AP,2,05/18/2026,PLT-01
V-101728,Hollingworth Machining GmbH,Hollingworth Machining,Active,Corporation,03-6046415,148264087,MX,US Dollar,Net 30,none,false,,hollingworth.machining@hollingworthmac.com,US-AP,Medium,2026-03-25,PLT-08;PLT-11;PLT-02;PLT-12
V-101729,Elmswell Seals Ltd,,active,LLC,376194921,853511226,USA,CAD,Net 60,3-way,yes,Woman-Owned Small Business,elmswell.seals.elmswellsea.com,UK-AP,Low,03/15/2027,PLT-11;PLT-04;PLT-08
V-101730,Saltburn Seals S.A. de C.V.,,Pending,,,45812242,US,USD,Due on receipt,3 way,YES,Woman-Owned Small Business,saltburn.seals@saltburnsea.com,MX-AP,Low,2026-12-11,PLT-01;PLT-12
V-101731,Quarrington Logistics Ltd.,Quarrington Logistics,draft,Sole Prop,86-5166732,854458450,US,USD,Net 30,none,false,,quarrington.logistics@quarringtonlog.com,US-AP,Tier 1,2027-12-22,PLT-02 / PLT-11
V-101732,Verwood Foundry Inc.,Verwood Foundry,active,LLC,37-7108790,702732465,CA,USD,Net 30,2-way,No,,verwood.foundry@verwoodfou.com,MX-AP,2,11/10/2027,PLT-09
V-101733,Wolverton Calibration Corp,,draft,LLC,08-2219708,207520918,US,USD,COD,2-way,False,,wolverton.calibration@wolvertoncal.com,EU-AP,1,09/22/2026,PLT-11
V-101734,Hollingworth Logistics Co,Hollingworth Logistics,active,LLC,60-8855867,51-358-3765,Canada,MXN,Immediate,3-way,False,,hollingworth.logistics@hollingworthlog.com,US-AP,Tier 2,11/22/2026,PLT-01;PLT-03;PLT-04
V-101735,Farndale Machining S.A. de C.V.,Farndale Machining,Pending,Corporation,723573573,213678203,US,CAD,Net 30,none,false,,farndale.machining@farndalemac.com,US-AP,Low,2026-01-17,PLT-06
V-101736,Ingleby Machining GmbH,Ingleby Machining,active,Sole Proprietor,69-0655395,619191696,US,USD,Net 60,2 way,true,WBE,ingleby.machining@inglebymac.com,EU-AP,,2027-01-17,
V-101737,Lansdowne Abrasives LLC,Lansdowne Abrasives,active,S-Corp,,,Deutschland,EUR,Net 60,2-way,N,,ap@lansdowneabr.com; lansdowne.abrasives@lansdowneabr.com,MX-AP,Medium,2028-03-15,PLT-06;PLT-07;PLT-08
V-101738,Jarrow Coatings Inc,Jarrow Coatings,A,Sole Proprietor,18-9661177,889073495,US,MXN,2/10 Net 30,3-way,F,,jarrow.coatings@jarrowcoa.com,UK-AP,3,2027-11-15,PLT-09;PLT-05
V-101739,Rushcliffe Springs PLC,,inactive,S-Corp,95-5516662,661631997,USA,USD,,2-way,FALSE,,rushcliffe.springs@rushcliffespr.com,,,2027-06-16,PLT-03
V-101740,Ullswater Fabrication Ltd,Ullswater Fabrication,,Corporation,,,Canada,GBP,Net 90,3-way,false,,ullswater.fabrication@ullswaterfab.com,EU-AP,2,03/15/2026,"PLT-05, PLT-11"
V-101741,Ballantyne Springs Co,,draft,S-Corp,98-4607062,400561149,US,USD,Net 30,2 way,F,,ballantyne.springs@ballantynespr.com,US-AP,2,12/27/2028,PLT-09
V-101742,Rushcliffe Springs LLC,Rushcliffe Springs,draft,Corporation,09-1760508,,CA,USD,Net 60,Two-way,N,,rushcliffe.springs@rushcliffespr.com,,1,12/19/2028,PLT-06;PLT-12
V-101743,Denholm Bearings S.A. de C.V.,Denholm Bearings,active,LLC,54-3059207,226229705,United Kingdom,usd,,none,False,,denholm.bearings.denholmbea.com,US-AP,1,2027-01-03,PLT-03;PLT-05;PLT-09
V-101744,Netherfield Seals GmbH,Netherfield Seals,Inactive,,504194580,730387487,Mexico,USD,Net 45,3-way-direct,false,,ap@netherfieldsea.com; netherfield.seals@netherfieldsea.com,US-AP,1,2028-09-06,PLT-08;PLT-02;PLT-03;PLT-06
V-101745,Fairweather Fabrication Co,Fairweather Fabrication,inactive,,34-2121294,677686324,US,USD,Net 15,3-way,N,,fairweather.fabrication@fairweatherfab.com,US-AP,1,2026-02-26,"PLT-02, PLT-01, PLT-12"
V-101746,Lansdowne Weldments Inc.,Lansdowne Weldments,Inactive,Corporation,,27327909,Canada,CAD,COD,None,false,,,US-AP,Low,2026-01-26,PLT-07
V-101747,Ashworth Coatings PLC,,Active,S-Corp,48-2029990,20-316-1267,USA,USD,Net 45,Two-way,true,VOSB,ashworth.coatings@ashworthcoa.com,US-AP,2,09/21/2027,PLT-05;PLT-11
V-101748,Yarborough Pneumatics Inc.,,draft,Corporation,42-8747126,40-717-6151,DE,USD,Net30,3 way,false,,ap@yarboroughpne.com; yarborough.pneumatics@yarboroughpne.com,,1,2028-01-16,"PLT-12, PLT-10, PLT-05, PLT-03"
V-101749,Pemberton Forgings S.A. de C.V.,,active,Sole Proprietor,450712112,712945813,Canada,USD,Net 30,2-way,no,,pemberton.forgings@pembertonfor.com,US-AP,High,2027-01-02,PLT-07;PLT-02
V-101750,Elmswell Plating Co,,active,Limited Liability Company,305430204,509804028,MX,MXN,Net30,3 way,0,,elmswell.plating@elmswellpla.com,US-AP,Medium,09/14/2028,PLT-03
V-101751,Marchmont Bearings Inc.,,inactive,Corporation,81-6630978,389532912,DE,USD,Immediate,Two-way,FALSE,,,EU-AP,,2027-11-03,PLT-08;PLT-05;PLT-03;PLT-01
V-101752,Yarborough Calibration GmbH,,Inactive,S-Corp,88-9811221,370513360,USA,USD,Net 45,none,False,,,CA-AP,3,04/08/2027,PLT-12 / PLT-10
V-101753,Brackenridge Coatings S.A. de C.V.,Brackenridge Coatings,active,Corporation,90-7097801,989976066,,Euro,Net 60,3-way,No,,brackenridge.coatings@brackenridgecoa.com,US-AP,Medium,2027-12-21,PLT-09
V-101754,Marchmont Forgings Co,Marchmont Forgings,active,Corporation,977461006,433688802,US,USD,Due on receipt,2-way,0,,marchmont.forgings@marchmontfor.com,,1,2026-08-05,PLT-12;PLT-08
V-101755,Quarrington Extrusions GmbH,Quarrington Extrusions,Active,Sole Proprietor,45-5960118,171902486,MX,Euro,COD,3-way,F,,quarrington.extrusions@quarringtonext.com,MX-AP,1,2027-11-06,"PLT-11, PLT-07, PLT-04, PLT-06"
V-101756,Elmswell Tooling Ltd,,inactive,Partnership,899102984,167611584,US,USD,Net 60,2-way,YES,Woman-Owned Small Business,elmswell.tooling@elmswelltoo.com,US-AP,Medium,2028-06-08,PLT-08;PLT-11;PLT-05
V-101757,Ingleby Electrical LLC,,active,,94-7234476,595814313,,EUR,Net 30,3-way,,,ingleby.electrical@inglebyele.com,US-AP,Medium,12/22/2026,PLT-06 / PLT-04 / PLT-09
V-101758,Marchmont Forgings S.A. de C.V.,,inactive,,,771022061,US,CAD,Net 45,3-way,,MBE,marchmont.forgings.marchmontfor.com,MX-AP,2,2027-12-08,"PLT-11, PLT-03"
V-101759,Culverton Gasket Ltd.,Culverton Gasket,active,Corporation,74-7215197,990244742,US,USD,Immediate,3-way-direct,FALSE,,culverton.gasket.culvertongas.com,US-AP,,2028-03-03,PLT-03
V-101760,Netherfield Lubricants PLC,Netherfield Lubricants,active,Corporation,,276480518,CA,USD,Immediate,,false,,netherfield.lubricants@netherfieldlub.com,US-AP,Low,09/01/2027,PLT-10
V-101761,Alderman Hydraulics Inc.,,Pending,S-Corp,48-2882929,57-579-7284,US,USD,COD,2 way,No,,alderman.hydraulics@aldermanhyd.com,US-AP,1,2027-01-06,PLT-02
V-101762,Elmswell Seals S.A. de C.V.,Elmswell Seals,Draft,LLC,069959347,283320583,United Kingdom,EUR,Net 30,2 Way Match,no,,elmswell.seals@elmswellsea.com,,2,05/22/2027,"PLT-09, PLT-05"
V-101763,Fairweather Springs GmbH,,active,LLC,462023110,472249531,US,CAD,Net 30,2 Way Match,,,ap@fairweatherspr.com; fairweather.springs@fairweatherspr.com,US-AP,1,2027-02-17,PLT-01
V-101764,Hollingworth Coatings Co,,draft,S-Corp,,422899013,United Kingdom,GBP,30 days,2-way,False,,hollingworth.coatings@hollingworthcoa.com,EU-AP,3,2026-02-05,"PLT-10, PLT-12"
V-101765,Verwood Coatings Co,,Pending,LLC,,917150961,US,US Dollar,Net 60,,N,,verwood.coatings@verwoodcoa.com,US-AP,2,12/06/2028,"PLT-08, PLT-07"
V-101766,Verwood Valves Inc,Verwood Valves,active,Corporation,83-5340672,290811882,MX,USD,Net 30,none,N,,verwood.valves@verwoodval.com,EU-AP,1,2027-06-25,"PLT-06, PLT-08, PLT-09"
V-101767,Elmswell Gasket Corp,Elmswell Gasket,active,S-Corp,890499173,463903480,US,USD,Net 15,3-way,YES,HUBZone,elmswell.gasket@elmswellgas.com,US-AP,3,2027-08-25,"PLT-08, PLT-05"
V-101768,Wolverton Fabrication Ltd.,Wolverton Fabrication,active,,085866415,,Canada,GBP,Net 30,2-way,false,,wolverton.fabrication@wolvertonfab.com,CA-AP,Tier 3,,PLT-12;PLT-09
V-101769,Ashworth Coatings GmbH,Ashworth Coatings,ACTIVE,Non-Profit,129184576,91-628-9773,US,EUR,,2 way,True,Woman-Owned Small Business,ashworth.coatings@ashworthcoa.com,US-AP,High,02/23/2028,PLT-09
V-101770,Farndale Calibration Inc,Farndale Calibration,Pending,LLC,861507347,156220501,US,USD,Net 30,2-way,0,,farndale.calibration@farndalecal.com,CA-AP,Tier 1,2027-12-26,"PLT-08, PLT-11, PLT-01"
V-101771,Ashworth Weldments Ltd,Ashworth Weldments,active,,865183332,447899141,US,USD,Net30,3-way,no,,ashworth.weldments@ashworthwel.com,US-AP,2,2028-02-24,PLT-01
V-101772,Eastgate Castings LLC,Eastgate Castings,Pending,Non-Profit,850696616,241603483,US,Euro,Net 30,3-way,False,,eastgate.castings@eastgatecas.com,US-AP,,2027-05-04,"PLT-07, PLT-04, PLT-06, PLT-01"
V-101773,Fairweather Pneumatics LLC,,Active,Corporation,86-6694106,931138722,CA,USD,,2-way,True,Minority Business Enterprise,fairweather.pneumatics@fairweatherpne.com,US-AP,2,,PLT-07;PLT-10
V-101774,Hollingworth Castings GmbH,Hollingworth Castings,active,LLC,078237881,04-150-4756,US,MXN,Due on receipt,2-way,no,,hollingworth.castings@hollingworthcas.com,US-AP,1,2026-09-26,PLT-06;PLT-01
V-101775,Verwood Lubricants Inc.,Verwood Lubricants,Inactive,Sole Proprietor,017064634,804904760,US,USD,Net 30,3-way-direct,0,,,US-AP,2,2027-10-22,PLT-12 / PLT-08 / PLT-03
V-101776,Eastgate Foundry Corp,,active,Corporation,888303347,175541534,Germany,MXN,Net 30,Two-way,true,HUBZone,eastgate.foundry.eastgatefou.com,,Tier 1,2028-03-06,PLT-08 / PLT-03
V-101777,Denholm Extrusions PLC,Denholm Extrusions,active,Sole Prop,469908323,635397586,Germany,EUR,Net 45,Two-way,FALSE,,denholm.extrusions@denholmext.com,,1,2028-07-26,"PLT-10, PLT-05"
V-101778,Fairweather Fabrication Ltd.,,I,LLC,37-0792121,177222067,US,US Dollar,Net 30,2-way,Yes,Minority Business Enterprise,fairweather.fabrication@fairweatherfab.com,MX-AP,Tier 3,2027-12-14,
V-101779,Yarborough Machining Inc.,Yarborough Machining,draft,Limited Liability Company,54-8385454,09321308,USA,MXN,NET30,3-way,YES,WBE,yarborough.machining@yarboroughmac.com,US-AP,Medium,2028-11-11,PLT-06
V-101780,Quarrington Calibration Ltd,,active,LLC,01-0773780,787298179,US,US Dollar,Net 30,3-way,yes,Minority Business Enterprise,ap@quarringtoncal.com; quarrington.calibration@quarringtoncal.com,US-AP,2,2027-01-09,"PLT-01, PLT-09, PLT-05"
V-101781,Denholm Tooling LLC,Denholm Tooling,I,S-Corp,921431690,503751809,US,USD,Net 90,3-way-direct,1,HUBZone,denholm.tooling@denholmtoo.com,MX-AP,2,2028-04-21,PLT-12;PLT-05
V-101782,Culverton Extrusions S.A. de C.V.,,active,Sole Proprietor,403316551,986497969,Canada,USD,Due on receipt,none,0,,culverton.extrusions@culvertonext.com,EU-AP,3,2027-11-16,PLT-10;PLT-12;PLT-11;PLT-04
